鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡
中正區,房地(土地+建物),汀州路三段１６０巷４之１號六樓之１,7.59,住,,,1131020,土地1建物1車位0,六層,九層,華廈(10層含以下有電梯),住家用,951130.0,34.81,1,1,1,有,有,14500000,416547.0,,0.0,0,陽台外推；夾層；,RPQNMLSJJIJGFAA37DA,18.86,0.0,4.94,有,,18.0
中山區,房地(土地+建物),遼寧街１０１巷２弄１０號四樓,22.0,住,,,1131007,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,820616.0,62.03,1,2,1,有,無,16800000,270837.0,,0.0,0,陽台外推；,RPOOMLMKKIJGFCA07DA,52.92,1.45,6.16,無,,31.0
信義區,房地(土地+建物),吳興街６００巷７６弄６２號五樓,9.68,住,,,1131010,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,711006.0,39.08,1,1,1,有,有,7500000,191914.0,,0.0,0,陽台外推；,RPQNMLLLIIJGFDA07DA,29.12,0.0,6.29,無,,42.0
南港區,房地(土地+建物),忠孝東路六段１８８巷１３弄２號三樓,39.33,住,,,1131020,土地1建物1車位0,三層，陽臺,三層,公寓(5樓含以下無電梯),住家用,,96.05,2,2,1,有,無,22370000,232900.0,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPXNMLTLJIJGFDA68DA,96.05,0.0,0.0,無,,
北投區,房地(土地+建物),中央北路二段１６７號三樓,57.68,住,,,1131013,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,690616.0,145.47,4,2,2,有,無,16880000,116038.0,,0.0,0,陽台外推；其他增建；,RPVNMLPLJIJGFEA18DA,133.32,0.0,12.15,無,,44.0
大安區,房地(土地+建物),大安路一段１２６巷８號五樓,34.5,住,,,1131010,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,660511.0,121.08,3,2,2,有,無,30500000,251900.0,,0.0,0,鐵鋁窗增建,RPWNMLPLJIJGFFA38DA,101.39,0.0,19.69,無,,47.0
信義區,房地(土地+建物),福德街１７９號三樓,30.14,住,,,1131014,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,701228.0,146.77,4,2,2,有,無,33800000,230292.0,,0.0,0,陽台外推；,RPQNMLNKKIJGFDA47EA,107.5,0.0,23.62,有,,43.0
大安區,房地(土地+建物),臥龍街２８８號二樓,43.15,住,,,1131017,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,810224.0,127.08,4,2,2,有,無,29000000,228203.0,,0.0,0,鐵鋁窗增建陽台外推；其他增建；,RPPNMLMKKIJGFFA47EA,103.88,2.0,12.21,無,,33.0
文山區,房地(土地+建物),辛亥路七段８４巷１號五樓之１,23.98,住,,,1131029,土地2建物1車位0,五層,十層,華廈(10層含以下有電梯),住家用,891025.0,92.56,3,2,2,有,有,17800000,192308.0,,0.0,0,陽台外推；夾層；其他增建；,RPPNMLTLJIJGFAA57DA,62.3,0.0,5.6,有,,24.0
文山區,房地(土地+建物)+車位,辛亥路六段２１巷１４號十二樓,63.45,住,,,1131013,土地8建物1車位1,十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,880809.0,182.46,2,2,2,有,有,25740000,141072.0,坡道平面,0.0,2000000,車位面積無法概算。陽台外推；,RPUNMLMJKIJGFAA27DA,85.14,0.0,10.37,有,,25.0
