交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物)+車位,恆光街３０巷８號五樓,5.0,30.0,1,51.91,394922,0.0,,24.981992,121.56668,萬芳社區站出口,1853,有電梯_7樓以下
房地(土地+建物)+車位,文湖街２１巷８２弄１０號三樓,3.0,19.0,1,73.33,768239,19.99,0.0,25.089327,121.560583,劍南路站出口1,678,有電梯_7樓以下
房地(土地+建物)+車位,松德路９５號六樓,6.0,30.0,1,61.07,1080836,9.55,314136.0,25.038036,121.57599,永春站出口3,297,有電梯_7樓以下
房地(土地+建物)+車位,寶興街２２８號七樓,7.0,26.0,1,37.52,724585,8.95,201117.0,25.022052,121.495803,龍山寺站出口2,1507,有電梯_7樓以下
房地(土地+建物),星雲街２１０巷２６號二樓,2.0,11.0,1,36.1,879974,0.0,,25.079623,121.597825,內湖站出口2,551,有電梯_7樓以下
房地(土地+建物),信義路四段２６５巷１１號四樓,4.0,42.0,1,23.23,1080408,0.0,,25.033961,121.554439,信義安和站出口5,116,有電梯_7樓以下
房地(土地+建物)+車位,安康路４２６號二樓,2.0,4.0,1,55.13,731341,9.05,0.0,25.066647,121.614698,東湖站出口3,279,有電梯_7樓以下
房地(土地+建物),市民大道四段２１１號四樓,4.0,47.0,1,32.93,911104,0.0,,25.044699,121.552865,忠孝敦化站出口2,361,有電梯_7樓以下
房地(土地+建物),寶清街１０５巷６號六樓之１,6.0,42.0,1,32.3,773900,0.0,,25.053414,121.567808,南京三民站出口4,372,有電梯_7樓以下
房地(土地+建物)+車位,興德路６６巷４２號五樓,5.0,5.0,1,44.82,624744,0.0,,25.003124,121.557682,辛亥站出口,232,有電梯_7樓以下
房地(土地+建物)+車位,興德路６６巷４２號四樓,4.0,5.0,1,44.82,624744,0.0,,25.003124,121.557682,辛亥站出口,232,有電梯_7樓以下
房地(土地+建物),重陽路３９巷１００號六樓之３,6.0,21.0,1,36.73,939377,0.0,,25.057371,121.594218,昆陽站出口3,755,有電梯_7樓以下
房地(土地+建物)+車位,忠孝東路五段２３６巷３７弄１９號三樓,3.0,27.0,1,26.63,1107182,8.22,243309.0,25.038133,121.57334,永春站出口2,352,有電梯_7樓以下
房地(土地+建物)+車位,瑞安街１２０巷２號二樓,2.0,15.0,1,96.93,1151291,24.41,327735.0,25.029729,121.542228,大安站出口5,379,有電梯_7樓以下
房地(土地+建物),興隆路二段２０３巷７２號六樓,6.0,26.0,1,26.73,710923,0.0,,25.002636,121.548047,萬隆站出口2,864,有電梯_7樓以下
房地(土地+建物)+車位,復興三路５８號四樓之１,4.0,7.0,1,45.28,594398,12.36,339806.0,25.144724,121.503383,新北投站出口1,863,有電梯_7樓以下
房地(土地+建物),忠孝東路三段２１７巷５弄１６號四樓,4.0,52.0,1,56.66,912137,0.0,,25.043426,121.5388,忠孝復興站出口1,474,有電梯_7樓以下
