交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物),金山南路二段１４０號十七樓之１,17.0,37.0,1,32.0,946743,0.0,,25.029363,121.526215,古亭站出口5,415,有電梯_7樓以上
房地(土地+建物),辛亥路六段６９號九樓,9.0,25.0,1,27.32,636123,0.0,,24.988927,121.552659,大坪林站出口5,1167,有電梯_7樓以上
房地(土地+建物)+車位,西藏路１１９號十一樓,11.0,10.0,1,57.52,627638,0.0,,25.029546,121.502718,龍山寺站出口3,663,有電梯_7樓以上
房地(土地+建物)+車位,成功路五段４２０巷１７之５號八樓,8.0,25.0,1,47.94,846467,10.72,233209.0,25.075358,121.608337,葫洲站出口1,318,有電梯_7樓以上
房地(土地+建物),西藏路９８號十一樓,11.0,32.0,1,50.84,544506,0.0,,25.030416,121.505301,龍山寺站出口3,669,有電梯_7樓以上
房地(土地+建物)+車位,內湖路二段１０３巷１６號二十三樓,23.0,4.0,1,205.68,1416141,48.25,261140.0,25.080468,121.582119,文德站出口2,343,有電梯_7樓以上
房地(土地+建物)+車位,康樂街１３６巷１８弄３５號十四樓,14.0,9.0,1,37.86,779624,5.02,0.0,25.07125,121.618071,東湖站出口3,771,有電梯_7樓以上
房地(土地+建物),復興北路１９０巷１３號九樓之２,9.0,36.0,1,29.78,671567,0.0,,25.055446,121.542975,南京復興站出口1,325,有電梯_7樓以上
房地(土地+建物)+車位,臥龍街３１６號八樓之１,8.0,12.0,1,61.18,846282,13.91,179727.0,25.016603,121.559948,麟光站出口,256,有電梯_7樓以上
房地(土地+建物)+車位,辛亥路六段３３號十一樓之１,11.0,14.0,1,51.02,729781,13.13,0.0,24.989297,121.553074,萬芳醫院站出口,1216,有電梯_7樓以上
房地(土地+建物)+車位,忠誠路一段６２號十樓,10.0,26.0,1,75.48,837278,0.0,,25.104826,121.527415,芝山站出口2,523,有電梯_7樓以上
房地(土地+建物)+車位,基河路３００巷２７號十三樓,13.0,1.0,1,83.37,924804,18.28,262582.0,25.093602,121.518436,士林站出口1,760,有電梯_7樓以上
