交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺),類別
房地(土地+建物),木柵路二段１０９巷１２８號,,32.0,0,73.66,349464,0.0,,24.990796,121.562598,萬芳社區站出口,1045,樓層未顯示或多層樓
房地(土地+建物),松山路２２５巷４弄３９號,,36.0,0,18.59,538052,0.0,,25.044492,121.5783,後山埤站出口1,313,樓層未顯示或多層樓
房地(土地+建物),中社路一段１１巷４２號,,50.0,0,31.38,764713,0.0,,25.110104,121.561936,劍南路站出口1,2817,樓層未顯示或多層樓
房地(土地+建物),康寧路三段７５巷２４０號,,39.0,0,73.85,518603,0.0,,25.075751,121.614773,葫洲站出口1,765,樓層未顯示或多層樓
房地(土地+建物),南京東路五段２９１巷３８弄７號,,,0,20.42,1518215,0.0,,25.053162,121.56599,南京三民站出口4,217,樓層未顯示或多層樓
房地(土地+建物)+車位,大湖街１３１巷４１弄１２號,,36.0,0,73.88,507563,0.0,,25.086478,121.600955,大湖公園站出口1,321,樓層未顯示或多層樓
房地(土地+建物),延平北路五段１６３巷２９弄１９號,,60.0,0,17.96,796375,0.0,,25.082309,121.509043,劍潭站出口2,1586,樓層未顯示或多層樓
房地(土地+建物),大龍街１８７巷４６號,,69.0,0,41.42,1013898,0.0,,25.069096,121.517478,圓山站出口1,319,樓層未顯示或多層樓
房地(土地+建物),永康街８巷４號,,53.0,0,87.48,1257432,0.0,,25.032225,121.529517,東門站出口5,149,樓層未顯示或多層樓
房地(土地+建物),迪化街二段１２９號,,,0,9.0,1572334,0.0,,25.066683,121.510077,大橋頭站出口1A,408,樓層未顯示或多層樓
房地(土地+建物),萬大路４８６巷７５號,,53.0,0,36.33,536788,0.0,,25.020653,121.495443,龍山寺站出口2,1666,樓層未顯示或多層樓
房地(土地+建物)+車位,康寧路三段７５巷２１５弄１１號,,39.0,0,85.73,606567,0.0,,25.076895,121.614457,葫洲站出口1,807,樓層未顯示或多層樓
房地(土地+建物),通安街１０９號,,30.0,0,40.52,1033491,0.0,,25.029767,121.553134,信義安和站出口2A,347,樓層未顯示或多層樓
房地(土地+建物),興隆路二段２０１號,,57.0,0,28.51,771561,0.0,,25.000907,121.549667,萬芳醫院站出口,831,樓層未顯示或多層樓
建物,松山路１７３號,,42.0,0,40.52,493586,0.0,,25.04605,121.577961,後山埤站出口1,392,樓層未顯示或多層樓
房地(土地+建物),大湖山莊街２１９巷３３號,,37.0,1,174.59,438175,0.0,,25.089349,121.599986,大湖公園站出口1,653,樓層未顯示或多層樓
房地(土地+建物),汀州路二段２４５巷７號,,,0,42.26,828222,0.0,,25.023208,121.523323,古亭站出口2,255,樓層未顯示或多層樓
房地(土地+建物),汀州路四段１０５巷３０號,,69.0,0,35.14,1650618,0.0,,25.006261,121.537992,萬隆站出口4,403,樓層未顯示或多層樓
建物,中山北路七段２３２巷１９弄２１號,,60.0,0,68.31,219595,0.0,,25.127145,121.535524,石牌站出口1,2449,樓層未顯示或多層樓
房地(土地+建物),承德路四段２７７巷４５號,,55.0,0,61.59,633231,0.0,,25.0907,121.519456,士林站出口2,743,樓層未顯示或多層樓
房地(土地+建物)+車位,懷德街６６巷７號,,47.0,0,84.61,873192,0.0,,25.113234,121.520132,明德站出口2,386,樓層未顯示或多層樓
房地(土地+建物),杏林二路４２號,,56.0,0,29.98,850461,0.0,,25.142257,121.497555,新北投站出口2,779,樓層未顯示或多層樓
房地(土地+建物),武成街６３巷６弄２６號,,62.0,0,23.11,519166,0.0,,25.01914,121.494362,中原站出口,1575,樓層未顯示或多層樓
房地(土地+建物)+車位,民權東路六段４２３巷１３號,,26.0,0,81.11,725935,0.0,,25.071874,121.603694,葫洲站出口2,360,樓層未顯示或多層樓
房地(土地+建物),中央南路一段１０２巷４４號,,66.0,0,11.8,1101930,0.0,,25.131299,121.499882,北投站出口2,76,樓層未顯示或多層樓
房地(土地+建物),中央北路二段１１６號,,62.0,0,13.49,1162215,0.0,,25.138425,121.491897,復興崗站出口1,659,樓層未顯示或多層樓
房地(土地+建物),公路３３４巷１９號,,52.0,0,47.98,1081228,0.0,,25.132303,121.502681,北投站出口2,379,樓層未顯示或多層樓
房地(土地+建物),溫泉路１０８之１號,,71.0,0,42.29,638412,0.0,,25.136088,121.51055,新北投站出口1,714,樓層未顯示或多層樓
房地(土地+建物),興德路６６巷７１號,,37.0,0,50.09,638839,0.0,,25.002729,121.559216,辛亥站出口,346,樓層未顯示或多層樓
房地(土地+建物),政大一街４５巷５號,,24.0,0,70.7,489128,0.0,,24.985556,121.580609,動物園站出口2,1387,樓層未顯示或多層樓
