交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度
房地(土地+建物),延平北路五段２４４巷２２弄１９號三樓,3.0,53.0,無,19.75,438544,0.0,,25.08433,121.510993
房地(土地+建物),延平北路三段１００號五樓,5.0,42.0,有,27.49,520167,0.0,,25.06635,121.510895
房地(土地+建物),康寧路三段１８９巷８３弄１號二樓,2.0,28.0,有,35.67,588718,0.0,,25.072834,121.612255
房地(土地+建物)+車位,光復南路４１７巷３號四樓,4.0,29.0,有,74.79,802204,4.36,573394.0,25.036905,121.557936
房地(土地+建物)+車位,榮華一路８號三樓,3.0,1.0,有,44.73,980469,10.56,217803.0,25.111893,121.52384
房地(土地+建物)+車位,民生東路二段１４７巷５弄８號六樓,6.0,13.0,有,103.48,929986,29.52,338753.0,25.059047,121.535577
房地(土地+建物),新生北路三段７號四樓,4.0,41.0,有,30.79,649595,0.0,,25.063389,121.527988
房地(土地+建物),新生北路三段４３號三樓之１,3.0,45.0,有,15.62,499519,0.0,,25.065416,121.528038
房地(土地+建物),港華街６９號二樓,2.0,37.0,無,31.85,598113,0.0,,25.08311,121.575081
房地(土地+建物),重慶北路四段４９巷３１弄３０號,1.0,46.0,無,28.03,545910,0.0,,25.081818,121.511459
房地(土地+建物),吳興街２８４巷３０弄４６號二樓,2.0,48.0,無,32.77,528487,0.0,,25.023162,121.562904
房地(土地+建物),羅斯福路三段２８３巷１９弄１２號,1.0,55.0,無,40.83,1175740,0.0,,25.019562,121.531072
房地(土地+建物),星雲街１６８巷４３號十五樓之２,15.0,26.0,有,18.21,812854,0.0,,25.080177,121.59724
房地(土地+建物),康寧路三段２５３號五樓,5.0,29.0,有,27.65,640040,0.0,,25.066559,121.611349
房地(土地+建物)+車位,文湖街２１巷８２弄２３號七樓,7.0,1.0,有,28.3,867317,4.27,398126.0,25.089063,121.560797
房地(土地+建物),敦化南路一段１７７巷３０號二樓之２,2.0,15.0,有,13.43,1176385,0.0,,25.042961,121.550582
