鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡,年度
南港區,房地(土地+建物),合順街８巷７弄１１號四樓,22.25,住,,,1120314,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,,69.6,2,2,1,有,無,7900000,113506.0,,0.0,0,其他增建；,RPROMLRJMHIGFDA87DA,69.6,0.0,0.0,無,,,112
文山區,房地(土地+建物),興隆路二段９６巷７８號,109.0,住,,,1120302,土地1建物1車位0,全,二層,透天厝,住家用,,133.32,7,2,2,有,無,30580000,229373.0,,0.0,0,頂樓加蓋；其他增建；,RPWNMLQKLHIGFAA87DA,133.32,0.0,0.0,無,,,112
大安區,房地(土地+建物),和平東路二段９６巷１０弄９號三樓,42.7,住,,,1120319,土地1建物1車位0,三層，陽臺,四層,公寓(5樓含以下無電梯),住家用,,118.5,3,2,2,有,無,32500000,274262.0,,0.0,0,,RPPNMLNJNHIGFFA57EA,118.5,0.0,0.0,無,,,112
大安區,房地(土地+建物),永康街３５號三樓,24.25,住,,,1120328,土地2建物1車位0,三層，陽臺,四層,公寓(5樓含以下無電梯),住家用,,77.01,3,3,3,有,無,23500000,305155.0,,0.0,0,陽台外推；,RPRNMLKLMHIGFFA47DA,77.01,0.0,0.0,無,1342.0,,112
中正區,房地(土地+建物),汀州路二段３３９號四樓,15.88,住,,,1120304,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,,48.14,1,1,1,有,無,8880000,184462.0,,0.0,0,其他增建；,RPSOMLLKMHIGFAA17DA,48.14,0.0,0.0,無,,,112
南港區,房地(土地+建物),東新街８９巷１弄６號二樓,42.0,住,,,1120320,土地1建物1車位0,二層，陽臺,三層,公寓(5樓含以下無電梯),住家用,,95.59,3,1,2,有,無,17930400,187576.0,,0.0,0,陽台外推；其他增建；,RPRNMLPJNHIGFDA77EA,95.59,0.0,0.0,無,,,112
文山區,房地(土地+建物),木柵路四段３５之７號二樓,35.5,住,,,1120327,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,,86.8,3,2,1,有,無,12000000,138249.0,,0.0,0,陽台外推；,RPWNMLLMLHIGFAA57DA,81.67,0.0,5.13,無,,,112
文山區,房地(土地+建物),辛亥路四段１０１巷１４０弄８３號,177.0,住,,,1120329,土地1建物1車位0,全,二層,透天厝,住家用,,169.44,4,2,2,有,有,30000000,177054.0,,0.0,0,,RPRNMLSKNHIGFAA77DA,138.74,12.2,18.5,無,,,112
大安區,房地(土地+建物),大安路二段１４２巷８號二樓,51.15,住,,,1120331,土地3建物1車位0,二層，露台,四層,公寓(5樓含以下無電梯),住家用,,136.42,5,2,2,有,無,33600000,246298.0,,0.0,0,陽台外推；其他增建；,RPSNMLTKNHIGFFA48DA,136.42,0.0,0.0,無,,,112
大同區,房地(土地+建物),哈密街５９巷７３弄１５號二樓,31.0,住,,,1120212,土地1建物1車位0,二層,二層,公寓(5樓含以下無電梯),住家用,,52.23,3,1,1,有,無,8620000,165039.0,,0.0,0,夾層；其他增建；,RPVNMLKLKHIGFBA27DA,52.23,0.0,0.0,無,,,112
文山區,房地(土地+建物),木新路三段３６５巷６號,39.0,住,,,1120208,土地1建物1車位0,一層,二層,公寓(5樓含以下無電梯),住家用,,67.83,0,0,0,無,無,13500000,199027.0,,0.0,0,,RPQNMLOLLHIGFAA17DA,67.83,0.0,0.0,無,1638.0,,112
文山區,房地(土地+建物),一壽街６３巷４號四樓,40.5,住,,,1120201,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,,102.68,3,2,2,有,無,13400000,130503.0,,0.0,0,頂樓加蓋；,RPOOMLLLKHIGFAA66DA,95.19,7.49,0.0,無,,,112
大安區,房地(土地+建物),敦化南路二段３３１巷１２號六樓,26.87,住,,,1120210,土地3建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,,122.92,4,2,2,有,有,33000000,268467.0,,0.0,0,陽台外推；,RPPNMLKKLHIGFFA07DA,92.8,0.0,13.08,有,11.0,,112
內湖區,房地(土地+建物),內湖路三段１１５巷２弄７號,29.78,住,,,1120219,土地2建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,,83.89,3,2,2,有,無,17280000,205984.0,,0.0,0,其他增建；,RPTNMLNKLHIGFCA47DA,83.89,0.0,0.0,無,,,112
文山區,房地(土地+建物),下崙路３６號,60.0,住,,,1120223,土地1建物1車位0,全,二層,透天厝,住家用,,86.46,2,2,2,有,無,19400000,224381.0,,0.0,0,,RPSNMLRLLHIGFAA67DA,86.46,0.0,0.0,無,1661.0,,112
中正區,房地(土地+建物),羅斯福路三段２１０巷８弄１４號三樓,34.75,住,,,1120217,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,,84.02,3,2,1,有,無,18100000,215425.0,,0.0,0,其他增建；,RPSOMLLLRHHGFAA77EA,84.02,0.0,0.0,無,,,112
大安區,房地(土地+建物),和平東路二段１７５巷２０號二樓,37.25,住,,,1120214,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,,86.35,3,2,2,有,無,21500000,248987.0,,0.0,0,其他增建；,RPSNMLRKKHIGFFA97DA,86.35,0.0,0.0,無,,,112
