交易標的,地址,幾樓,屋齡,是否有電梯,坪數,每坪價格,車位坪數,車位每坪價格,緯度,經度,最近捷運站出口,距離(公尺)
房地(土地+建物),中華路二段３１３巷６號三樓,3.0,,0,10.62,423699,0.0,,25.028159,121.506162,小南門站出口2,921
房地(土地+建物)+車位,三合街二段４５６號十七樓之１,17.0,25.0,1,25.4,661473,0.0,,25.127014,121.5021,奇岩站出口1,150
房地(土地+建物),信義路二段８６巷１６號五樓,5.0,41.0,0,17.4,804608,0.0,,25.033814,121.526193,東門站出口2,145
房地(土地+建物),研究院路三段８６巷２７弄４號二樓,2.0,44.0,0,24.84,442758,0.0,,25.035189,121.613341,南港站出口2,1965
房地(土地+建物)+車位,吉林路１０８巷６號二樓,2.0,10.0,1,59.48,849901,3.13,638978.0,25.053301,121.52946,松江南京站出口1,337
房地(土地+建物),木柵路四段１５９巷１７４之１號二樓,2.0,,0,26.28,323463,0.0,,25.004211,121.577518,動物園站出口1,701
房地(土地+建物),研究院路三段８６巷８號三樓,3.0,43.0,0,14.69,374497,0.0,,25.034481,121.613321,南港站出口2,2039
房地(土地+建物),新民路５１之１２號,1.0,46.0,0,18.37,381102,0.0,,25.14015,121.510598,新北投站出口1,795
房地(土地+建物),同德路８５巷１６號三樓,3.0,39.0,1,33.29,692699,0.0,,25.046616,121.5854,後山埤站出口3,263
房地(土地+建物),星雲街１６８巷４３號六樓之１,6.0,26.0,1,9.14,771460,0.0,,25.080177,121.59724,內湖站出口2,467
房地(土地+建物),石牌路二段３１５巷２號五樓之６,5.0,28.0,1,11.45,681066,0.0,,25.121941,121.523167,石牌站出口1,1112
房地(土地+建物),內湖路一段４３號三樓,3.0,42.0,0,38.87,432264,0.0,,25.085184,121.559209,劍南路站出口3,331
房地(土地+建物),內湖路一段９１巷６３號三樓,3.0,40.0,0,34.76,489065,0.0,,25.089035,121.562593,劍南路站出口1,829
房地(土地+建物),錦州街２１６號,1.0,55.0,0,18.2,1483403,0.0,,25.060304,121.531537,行天宮站出口4,147
房地(土地+建物)+車位,重慶南路三段６３號三樓之１,3.0,10.0,1,31.79,707777,0.0,,25.026572,121.516316,古亭站出口7,558
房地(土地+建物),錦州街２１６號二樓,2.0,55.0,0,20.85,700196,0.0,,25.060304,121.531537,行天宮站出口4,147
房地(土地+建物),重慶北路四段８１號四樓之９,4.0,44.0,1,22.35,572664,0.0,,25.081594,121.512437,劍潭站出口2,1254
房地(土地+建物),石牌路二段３１５巷２８弄１６號七樓之１,7.0,14.0,1,13.24,755436,0.0,,25.123622,121.52316,石牌站出口1,1249
房地(土地+建物),錦州街２１６號三樓,3.0,55.0,0,22.0,699879,0.0,,25.060304,121.531537,行天宮站出口4,147
房地(土地+建物),民權東路三段１０６巷２１弄１８號五樓,5.0,40.0,1,43.41,849481,0.0,,25.059385,121.545744,中山國中站出口,239
房地(土地+建物),中華路二段４５５號三樓之５,3.0,46.0,1,13.9,575671,0.0,,25.024876,121.509704,小南門站出口4,1164
房地(土地+建物)+車位,大業路４６２之６號三樓,3.0,26.0,1,47.21,621212,0.0,,25.133303,121.495861,北投站出口1,252
房地(土地+建物)+車位,北安路６３０巷２５弄１６號二樓之１,2.0,25.0,1,68.36,517709,0.0,,25.083603,121.54991,大直站出口1,469
房地(土地+建物),士東路２６６巷１２弄４之１號二樓,2.0,41.0,0,32.51,553734,0.0,,25.111903,121.536402,芝山站出口2,1676
房地(土地+建物),廈門街８１巷９號三樓,3.0,39.0,0,21.01,561756,0.0,,25.024534,121.517974,古亭站出口8,484
